# DB 오너십 분리 — 테이블 rename 맵 초안 (B안)
# 규칙: 잉여 서비스 토큰만 제거. * = 변경 없음
# old	new	schema

## chat
ban_word	ban_word	chat	(변경없음)
notification_recipient	notification_recipient	messaging	(변경없음)

## bomapp
analysis_survey	analysis_survey	bomapp	(변경없음)
analysis_survey_children	analysis_survey_children	bomapp	(변경없음)
biological_age	biological_age	bomapp	(변경없음)
biomarker	biomarker	bomapp	(변경없음)
cancer_analysis_summary	cancer_analysis_summary	bomapp	(변경없음)
cancer_rate_prediction	cancer_rate_prediction	bomapp	(변경없음)
cancer_risk_prediction	cancer_risk_prediction	bomapp	(변경없음)
car_info	car_info	bomapp	(변경없음)
contract_car	contract_car	bomapp	(변경없음)
contract_car_guarantee	contract_car_guarantee	bomapp	(변경없음)
contract_credit	contract_credit	bomapp	(변경없음)
contract_credit_item	contract_credit_item	bomapp	(변경없음)
contract_credit_statistics	contract_credit_statistics	bomapp	(변경없음)
coocon_session	coocon_session	bomapp	(변경없음)
disease_risk_prediction	disease_risk_prediction	bomapp	(변경없음)
diseases_code	diseases_code	bomapp	(변경없음)
family_health_checkup	family_health_checkup	bomapp	(변경없음)
family_health_checkup_crypto	family_health_checkup_crypto	bomapp	(변경없음)
family_health_survey	family_health_survey	bomapp	(변경없음)
from_age_interval_changes	from_age_interval_changes	bomapp	(변경없음)
from_age_pdf	from_age_pdf	bomapp	(변경없음)
from_age_risk_detail	from_age_risk_detail	bomapp	(변경없음)
from_age_risk_incidence_rate_age	from_age_risk_incidence_rate_age	bomapp	(변경없음)
from_age_risk_result	from_age_risk_result	bomapp	(변경없음)
gnnet_hospitals	gnnet_hospitals	bomapp	(변경없음)
health_checkup_analysis_pdf_crypto	health_checkup_analysis_pdf_crypto	bomapp	(변경없음)
health_checkup_bio_age_analysis_guide_crypto	health_checkup_bio_age_analysis_guide_crypto	bomapp	(변경없음)
health_checkup_bio_age_life_expectancy_crypto	health_checkup_bio_age_life_expectancy_crypto	bomapp	(변경없음)
health_checkup_crypto	health_checkup_crypto	bomapp	(변경없음)
health_checkup_detail_crypto	health_checkup_detail_crypto	bomapp	(변경없음)
health_letter	health_letter	bomapp	(변경없음)
health_letter_template	health_letter_template	bomapp	(변경없음)
ins_claim_history	ins_claim_history	bomapp	(변경없음)
ins_claim_member_info	ins_claim_member_info	bomapp	(변경없음)
ins_comp	ins_comp	bomapp	(변경없음)
insurance_guarantee	insurance_guarantee	bomapp	(변경없음)
insurance_guarantee_contract	insurance_guarantee_contract	bomapp	(변경없음)
insurance_guarantee_request	insurance_guarantee_request	bomapp	(변경없음)
insurance_guarantee_request_queue	insurance_guarantee_request_queue	bomapp	(변경없음)
insurer_inspection_time	insurer_inspection_time	bomapp	(변경없음)
log_agreement_health	log_agreement_health	bomapp	(변경없음)
log_coocon	log_coocon	bomapp	(변경없음)
log_from_age_analysis_result	log_from_age_analysis_result	bomapp	(변경없음)
log_health_checkup_analysis_register	log_health_checkup_analysis_register	bomapp	(변경없음)
log_insurance_guarantee_request	log_insurance_guarantee_request	bomapp	(변경없음)
log_pdf_result	log_pdf_result	bomapp	(변경없음)
log_scrap_health_checkup	log_scrap_health_checkup	bomapp	(변경없음)
medical_data	medical_data	bomapp	(변경없음)
peer_premium_statistics	peer_premium_statistics	bomapp	(변경없음)
policy	policy	bomapp	(변경없음)
policy_detail	policy_detail	bomapp	(변경없음)
popular_insurance_statistics	popular_insurance_statistics	bomapp	(변경없음)
product	product	bomapp	(변경없음)
product_group	product_group	bomapp	(변경없음)
scrap_report_ins	scrap_report_ins	bomapp	(변경없음)
